question,option0,option1,option2,correctIndex,difficulty,era,region
"In 'Bram Stoker's Dracula' (1992), which actor provides the voice and physical performance for the creature's 'man-bat' form?","Keanu Reeves","Anthony Hopkins","Gary Oldman",2,"Hard","90s","Domestic"
"In the 2014 mockumentary 'What We Do in the Shadows', which ancient vampire is kept in the basement and resembles Count Orlok?","Viago","Deacon","Petyr",2,"Easy","Modern","International"
"For the 1994 film 'Interview with the Vampire', which author famously hated the casting of Tom Cruise as Lestat before seeing the final film and recanting?","Stephen King","Clive Barker","Anne Rice",2,"Easy","90s","Domestic"
"In 'The Hunger Games: Catching Fire', what is the specific biological weapon used by the Gamemakers to drive the tributes toward the center of the arena?","Tracker Jackers","Jabberjays","Poisonous Fog",2,"Medium","Modern","Domestic"
"In the 1931 'Dracula', which actor was the studio's first choice for the Count before Bela Lugosi successfully lobbied for the role?","Lon Chaney","Conrad Veidt","Paul Muni",2,"Hard","Golden Age","Domestic"
"For the 2012 'The Hunger Games' film, which actress was one of the final three contenders for the role of Katniss Everdeen alongside Jennifer Lawrence?","Shailene Woodley","Chloe Grace Moretz","Hailee Steinfeld",2,"Medium","Modern","Domestic"
"In the 1992 film 'Bram Stoker's Dracula', which iconic musician makes a cameo as the asylum inmate Renfield?","David Bowie","Iggy Pop","Tom Waits",2,"Medium","90s","Domestic"
"Which 1987 vampire film was directed by a woman, Kathryn Bigelow, before she became the first woman to win the Best Director Oscar?","The Lost Boys","Fright Night","Near Dark",2,"Hard","80s","Domestic"
"In 'The Hunger Games: Mockingjay – Part 2', the production had to use CGI and body doubles to complete the scenes of which actor who passed away during filming?","Donald Sutherland","Woody Harrelson","Philip Seymour Hoffman",2,"Director Cut","Modern","Domestic"
"In the 1922 film 'Nosferatu', Max Schreck's performance was so eerie that it inspired a 2000 fictional film claiming he was an actual vampire, titled what?","The Last Vampire","Murnau's Monster","Shadow of the Vampire",2,"Hard","Golden Age","International"
"In the 1993 film 'Jurassic Park', the sound of the Dilophosaurus 'venom' hitting Dennis Nedry's face was actually a recording of what substance?","Melted chocolate","Paint thinner","Liquid detergent",2,"Director Cut","90s","Domestic"
"For the 1980 film 'The Empire Strikes Back', sound designer Ben Burtt created the 'hum' of the lightsaber using a combination of a TV set and what other device?","A microwave","A hair dryer","A film projector motor",2,"Medium","80s","Domestic"
"In the 2015 film 'The Hunger Games: Mockingjay – Part 2', the 'Lizard Mutts' in the sewer sequence were created using what combination of effects?","Full Puppetry","Prosthetic Suits","Performance Capture / CGI",2,"Medium","Modern","Domestic"
"Which 1922 vampire classic used 'stop-motion' to make a coffin lid magically open, marking one of the earliest uses of the technique in horror?","Haxan","Vampyr","Nosferatu",2,"Hard","Golden Age","International"
"In the 1992 film 'Bram Stoker's Dracula', director Francis Ford Coppola famously insisted on using only what kind of visual effects?","Digital Compositing","Miniatures","In-camera / Practical effects",2,"Hard","90s","Domestic"
"For the 2014 film 'A Girl Walks Home Alone at Night', the 'vampire' aesthetic was enhanced by using what specific visual choice to hide low-budget constraints?","Heavy Fog","Handheld Cameras","High-contrast Black and White",2,"Medium","Modern","International"
"In the 1941 film 'Citizen Kane', cinematographer Gregg Toland famously utilized which technique to keep both foreground and background in sharp focus?","Anamorphic stretching","Soft focus filters","Deep focus photography",2,"Easy","Golden Age","Domestic"
"In the 1939 classic 'The Wizard of Oz', editor Margaret Booth was known for enforcing a 'seamless' cutting style that originated at which major studio?","Paramount","RKO","MGM",2,"Director Cut","Golden Age","Domestic"
"Which 1950 film noir features a cameo by real-life gossip columnist Hedda Hopper, playing herself as she reports from a murder scene?","In a Lonely Place","All About Eve","Sunset Blvd.",2,"Director Cut","Golden Age","Domestic"
"The 1928 film 'The Docks of New York' features the atmospheric lighting of Josef von Sternberg and which pioneer of low-key 'Rembrandt' lighting?","Lee Garmes","Charles Rosher","Harold Rosson",0,"Director Cut","Golden Age","Domestic"
"In 'The Big Sleep' (1946), the screenplay was co-written by which Nobel Prize-winning novelist alongside Leigh Brackett and Jules Furthman?","Ernest Hemingway","John Steinbeck","William Faulkner",2,"Director Cut","Golden Age","Domestic"
"Which 1932 film, written by the pair Ben Hecht and Charles MacArthur, is famous for its rapid-fire dialogue and cynical view of the Chicago press?","His Girl Friday","Nothing Sacred","The Front Page",2,"Medium","Golden Age","Domestic"
"In the 1952 musical 'Singin' in the Rain', the 'Broadway Melody' sequence was a late addition that cost over $600,000, largely due to whose perfectionist choreography?","Donald O'Connor","Stanley Donen","Gene Kelly",2,"Easy","Golden Age","Domestic"
"Which 1944 musical features the song 'Have Yourself a Merry Little Christmas', written by the pair Hugh Martin and Ralph Blane specifically for Judy Garland?","The Harvey Girls","Easter Parade","Meet Me in St. Louis",2,"Director Cut","Golden Age","Domestic"
"In 'Sweet Smell of Success' (1957), cinematographer James Wong Howe used which lighting technique to make the New York night look 'slimy' and predatory?","Day-for-night filters","Heavy diffusion","High-contrast rim lighting",2,"Director Cut","Golden Age","Domestic"
"The 1948 film 'The Red Shoes' features a 17-minute ballet sequence that was painstakingly storyboarded to match which composer's original score?","Miklós Rózsa","Bernard Herrmann","Brian Easdale",2,"Director Cut","Golden Age","Domestic"
"In the 1947 noir 'T-Men', cinematographer John Alton utilized his signature 'single source' lighting to create what visual effect in the steam room scene?","Glowing silhouettes","Soft-box shadows","Pitch-black voids and blinding glare",2,"Director Cut","Golden Age","Domestic"
"Which 1934 Frank Capra film used a 'divided' bedroom set—the 'Walls of Jericho'—to bypass Hays Code restrictions on depicting an unmarried couple sleeping together?","Mr. Deeds Goes to Town","You Can't Take It with You","It Happened One Night",2,"Medium","Golden Age","Domestic"
"In 'The Philadelphia Story' (1940), the character played by James Stewart works for which fictional tabloid magazine?","The Tattler","The Evening Star","Spy Magazine",2,"Director Cut","Golden Age","Domestic"
"For the 1953 film 'Gentlemen Prefer Blondes', the 'Diamonds Are a Girl's Best Friend' number was choreographed by which legendary jazz dance pioneer?","Bob Fosse","Jerome Robbins","Jack Cole",2,"Director Cut","Golden Age","Domestic"
"Which 1958 Hitchcock film utilized the 'Dolly Zoom' (zoom in, pull back) for the first time in history to simulate acrophobia?","Psycho","North by Northwest","Vertigo",2,"Director Cut","Golden Age","Domestic"
"In the 1944 noir 'Laura', which cinematographer took over production mid-way and changed the lighting to give Gene Tierney a 'dream-like' appearance?","Arthur Miller","Lucien Ballard","Joseph LaShelle",2,"Director Cut","Golden Age","Domestic"
"The 1935 film 'Top Hat' features the song 'Cheek to Cheek', written by which legendary composer for the duo of Fred Astaire and Ginger Rogers?","Cole Porter","George Gershwin","Irving Berlin",2,"Director Cut","Golden Age","Domestic"
"In the 1948 Italian film 'Bicycle Thieves', director Vittorio De Sica famously cast non-professional actors, including a real-life factory worker named what in the lead role?","Enzo Staiola","Lianella Carell","Lamberto Maggiorani",2,"Director Cut","Golden Age","International"
"Which 1959 French New Wave film utilized a revolutionary 'jump cut' editing style that was originally done simply to shorten the film's runtime?","The 400 Blows","Hiroshima Mon Amour","Breathless",2,"Easy","Golden Age","International"
"In the 1954 Japanese film 'Seven Samurai', Akira Kurosawa used which specific editing technique during the final battle to create a sense of chaotic realism?","Slow motion","Static long takes","Wipe transitions and multi-camera coverage",2,"Director Cut","Golden Age","International"
"The 1927 masterpiece 'Metropolis' utilized the 'Schüfftan process' to combine live actors with miniatures through the use of what object?","Glass matte paintings","Prisms","A partially scraped mirror",2,"Director Cut","Golden Age","International"
"In the 1931 German film 'M', director Fritz Lang used a recurring whistle of which Edvard Grieg piece to signal the killer's presence?","Morning Mood","Anitra's Dance","In the Hall of the Mountain King",2,"Director Cut","Golden Age","International"
"Which 1949 British noir features a zither score by Anton Karas that became a global sensation, despite the director finding it by accident in a Vienna cafe?","Odd Man Out","The Fallen Idol","The Third Man",2,"Director Cut","Golden Age","International"
"In the 1950 Japanese film 'Rashomon', cinematographer Kazuo Miyagawa broke a long-standing industry taboo by pointing the camera directly at what?","A mirror","The lead actress","The Sun",2,"Director Cut","Golden Age","International"
"For the 1946 film 'Beauty and the Beast', director Jean Cocteau and cinematographer Henri Alekan used what to create the effect of the 'living' statues?","Puppetry","Stop motion","Real actors standing still in greasepaint",2,"Director Cut","Golden Age","International"
"Which 1955 French thriller features a 45-minute heist sequence filmed in total silence with no dialogue or music?","Le Samouraï","Diabolique","Rififi",2,"Hard","Golden Age","International"
"In 'The 400 Blows' (1959), the famous final shot of Antoine Doinel staring at the camera utilized which revolutionary cinematic technique?","A slow fade-out","A crash zoom","A freeze frame",2,"Director Cut","Golden Age","International"
"The 1939 French film 'The Rules of the Game' was famously edited down from 113 minutes to 85 minutes following a disastrous premiere, leading the director to say he was 'heartbroken'. Who was the director?","Marcel Carné","Jean Cocteau","Jean Renoir",2,"Medium","Golden Age","International"
"In 'Ikiru' (1952), the protagonist sings a 1915 song called 'Gondola no Uta' while on a swing; what is the song's core message?","The glory of the empire","The beauty of nature","The brevity of life",2,"Director Cut","Golden Age","International"
"Which 1953 Japanese film by Yasujirō Ozu is famous for its 'Tatami-mat' shots, where the camera is placed only two feet above the floor?","Late Spring","Early Summer","Tokyo Story",2,"Director Cut","Golden Age","International"
"In the 1945 British film 'Brief Encounter', director David Lean used which Rachmaninoff concerto to heighten the emotional longing of the protagonists?","Piano Concerto No. 1","Piano Concerto No. 3","Piano Concerto No. 2",2,"Director Cut","Golden Age","International"
"For the 1922 film 'Nosferatu', cinematographer Fritz Arno Wagner shot almost the entire film during the day using what technique to simulate night?","Infrared film","Blue lens filters","Under-exposure and dark tinting",2,"Director Cut","Golden Age","International"
"In 'Pather Panchali' (1955), the iconic 'train scene' where the children see a locomotive for the first time took how many days to film due to waiting for the right clouds?","Three days","One week","Several months over two seasons",2,"Director Cut","Golden Age","International"
"Which 1957 Swedish film features a game of chess against Death?","Wild Strawberries","The Virgin Spring","The Seventh Seal",2,"Easy","Golden Age","International"
"In the 1958 French film 'Mon Oncle', director Jacques Tati used which sound design technique to emphasize the absurdity of the 'modern' house?","Live orchestral score","Synchronous dialogue","Exaggerated foley sound effects",2,"Director Cut","Golden Age","International"
"In the 1941 film 'Citizen Kane', cinematographer Gregg Toland famously utilized which technique to keep both foreground and background in sharp focus?","Anamorphic stretching","Soft focus filters","Deep focus photography",2,"Easy","Golden Age","Domestic"
"In the 1939 classic 'The Wizard of Oz', editor Margaret Booth was known for enforcing a 'seamless' cutting style that originated at which major studio?","Paramount","RKO","MGM",2,"Director Cut","Golden Age","Domestic"
"Which 1950 film noir features a cameo by real-life gossip columnist Hedda Hopper, playing herself as she reports from a murder scene?","In a Lonely Place","All About Eve","Sunset Blvd.",2,"Director Cut","Golden Age","Domestic"
"The 1928 film 'The Docks of New York' features the atmospheric lighting of Josef von Sternberg and which pioneer of low-key 'Rembrandt' lighting?","Lee Garmes","Charles Rosher","Harold Rosson",0,"Director Cut","Golden Age","Domestic"
"In 'The Big Sleep' (1946), the screenplay was co-written by which Nobel Prize-winning novelist alongside Leigh Brackett and Jules Furthman?","Ernest Hemingway","John Steinbeck","William Faulkner",2,"Director Cut","Golden Age","Domestic"
"Which 1932 film, written by the pair Ben Hecht and Charles MacArthur, is famous for its rapid-fire dialogue and cynical view of the Chicago press?","His Girl Friday","Nothing Sacred","The Front Page",2,"Medium","Golden Age","Domestic"
"In the 1952 musical 'Singin' in the Rain', the 'Broadway Melody' sequence was a late addition that cost over $600,000, largely due to whose perfectionist choreography?","Donald O'Connor","Stanley Donen","Gene Kelly",2,"Easy","Golden Age","Domestic"
"Which 1944 musical features the song 'Have Yourself a Merry Little Christmas', written by the pair Hugh Martin and Ralph Blane specifically for Judy Garland?","The Harvey Girls","Easter Parade","Meet Me in St. Louis",2,"Director Cut","Golden Age","Domestic"
"In 'Sweet Smell of Success' (1957), cinematographer James Wong Howe used which lighting technique to make the New York night look 'slimy' and predatory?","Day-for-night filters","Heavy diffusion","High-contrast rim lighting",2,"Director Cut","Golden Age","Domestic"
"The 1948 film 'The Red Shoes' features a 17-minute ballet sequence that was painstakingly storyboarded to match which composer's original score?","Miklós Rózsa","Bernard Herrmann","Brian Easdale",2,"Director Cut","Golden Age","Domestic"
"In the 1947 noir 'T-Men', cinematographer John Alton utilized his signature 'single source' lighting to create what visual effect in the steam room scene?","Glowing silhouettes","Soft-box shadows","Pitch-black voids and blinding glare",2,"Director Cut","Golden Age","Domestic"
"Which 1934 Frank Capra film used a 'divided' bedroom set—the 'Walls of Jericho'—to bypass Hays Code restrictions on depicting an unmarried couple sleeping together?","Mr. Deeds Goes to Town","You Can't Take It with You","It Happened One Night",2,"Medium","Golden Age","Domestic"
"In 'The Philadelphia Story' (1940), the character played by James Stewart works for which fictional tabloid magazine?","The Tattler","The Evening Star","Spy Magazine",2,"Director Cut","Golden Age","Domestic"
"For the 1953 film 'Gentlemen Prefer Blondes', the 'Diamonds Are a Girl's Best Friend' number was choreographed by which legendary jazz dance pioneer?","Bob Fosse","Jerome Robbins","Jack Cole",2,"Director Cut","Golden Age","Domestic"
"Which 1958 Hitchcock film utilized the 'Dolly Zoom' (zoom in, pull back) for the first time in history to simulate acrophobia?","Psycho","North by Northwest","Vertigo",2,"Director Cut","Golden Age","Domestic"
"In the 1944 noir 'Laura', which cinematographer took over production mid-way and changed the lighting to give Gene Tierney a 'dream-like' appearance?","Arthur Miller","Lucien Ballard","Joseph LaShelle",2,"Director Cut","Golden Age","Domestic"
"The 1935 film 'Top Hat' features the song 'Cheek to Cheek', written by which legendary composer for the duo of Fred Astaire and Ginger Rogers?","Cole Porter","George Gershwin","Irving Berlin",2,"Director Cut","Golden Age","Domestic"
"In the 1948 Italian film 'Bicycle Thieves', director Vittorio De Sica famously cast non-professional actors, including a real-life factory worker named what in the lead role?","Enzo Staiola","Lianella Carell","Lamberto Maggiorani",2,"Director Cut","Golden Age","International"
"Which 1959 French New Wave film utilized a revolutionary 'jump cut' editing style that was originally done simply to shorten the film's runtime?","The 400 Blows","Hiroshima Mon Amour","Breathless",2,"Easy","Golden Age","International"
"In the 1954 Japanese film 'Seven Samurai', Akira Kurosawa used which specific editing technique during the final battle to create a sense of chaotic realism?","Slow motion","Static long takes","Wipe transitions and multi-camera coverage",2,"Director Cut","Golden Age","International"
"The 1927 masterpiece 'Metropolis' utilized the 'Schüfftan process' to combine live actors with miniatures through the use of what object?","Glass matte paintings","Prisms","A partially scraped mirror",2,"Director Cut","Golden Age","International"
"In the 1931 German film 'M', director Fritz Lang used a recurring whistle of which Edvard Grieg piece to signal the killer's presence?","Morning Mood","Anitra's Dance","In the Hall of the Mountain King",2,"Director Cut","Golden Age","International"
"Which 1949 British noir features a zither score by Anton Karas that became a global sensation, despite the director finding it by accident in a Vienna cafe?","Odd Man Out","The Fallen Idol","The Third Man",2,"Director Cut","Golden Age","International"
"In the 1950 Japanese film 'Rashomon', cinematographer Kazuo Miyagawa broke a long-standing industry taboo by pointing the camera directly at what?","A mirror","The lead actress","The Sun",2,"Director Cut","Golden Age","International"
"For the 1946 film 'Beauty and the Beast', director Jean Cocteau and cinematographer Henri Alekan used what to create the effect of the 'living' statues?","Puppetry","Stop motion","Real actors standing still in greasepaint",2,"Director Cut","Golden Age","International"
"Which 1955 French thriller features a 45-minute heist sequence filmed in total silence with no dialogue or music?","Le Samouraï","Diabolique","Rififi",2,"Hard","Golden Age","International"
"In 'The 400 Blows' (1959), the famous final shot of Antoine Doinel staring at the camera utilized which revolutionary cinematic technique?","A slow fade-out","A crash zoom","A freeze frame",2,"Director Cut","Golden Age","International"
"The 1939 French film 'The Rules of the Game' was famously edited down from 113 minutes to 85 minutes following a disastrous premiere, leading the director to say he was 'heartbroken'. Who was the director?","Marcel Carné","Jean Cocteau","Jean Renoir",2,"Medium","Golden Age","International"
"In 'Ikiru' (1952), the protagonist sings a 1915 song called 'Gondola no Uta' while on a swing; what is the song's core message?","The glory of the empire","The beauty of nature","The brevity of life",2,"Director Cut","Golden Age","International"
"Which 1953 Japanese film by Yasujirō Ozu is famous for its 'Tatami-mat' shots, where the camera is placed only two feet above the floor?","Late Spring","Early Summer","Tokyo Story",2,"Director Cut","Golden Age","International"
"In the 1945 British film 'Brief Encounter', director David Lean used which Rachmaninoff concerto to heighten the emotional longing of the protagonists?","Piano Concerto No. 1","Piano Concerto No. 3","Piano Concerto No. 2",2,"Director Cut","Golden Age","International"
"For the 1922 film 'Nosferatu', cinematographer Fritz Arno Wagner shot almost the entire film during the day using what technique to simulate night?","Infrared film","Blue lens filters","Under-exposure and dark tinting",2,"Director Cut","Golden Age","International"
"In 'Pather Panchali' (1955), the iconic 'train scene' where the children see a locomotive for the first time took how many days to film due to waiting for the right clouds?","Three days","One week","Several months over two seasons",2,"Director Cut","Golden Age","International"
"Which 1957 Swedish film features a game of chess against Death?","Wild Strawberries","The Virgin Spring","The Seventh Seal",2,"Easy","Golden Age","International"
"In the 1958 French film 'Mon Oncle', director Jacques Tati used which sound design technique to emphasize the absurdity of the 'modern' house?","Live orchestral score","Synchronous dialogue","Exaggerated foley sound effects",null,"Director Cut","Golden Age","International"
"Which 1987 film by Wim Wenders features angels watching over a divided Berlin?","Wings of Desire","Paris, Texas","The State of Things",0,"Medium","80s","International"
"In the 1991 film 'Raise the Red Lantern', which director explores the concubine system in 1920s China?","Zhang Yimou","Chen Kaige","Wong Kar-wai",0,"Hard","90s","International"
"Which 1994 film is the first in Krzysztof Kieślowski's 'Three Colors' trilogy?","Blue","White","Red",0,"Medium","90s","International"
"In the 1995 French film 'La Haine', the story follows three friends over 24 hours in what location?","Parisian suburbs (banlieues)","Marseille docks","Lyon city center",0,"Medium","90s","International"
"For the 1999 film 'Magnolia', which snack food is hidden in almost every scene as an inside joke?","Frogs","Apples","Slices of pizza",0,"Director Cut","90s","Domestic"
"In 'The Graduate' (1967), the famous 'zoom-crush' shot of Dustin Hoffman running toward the camera was achieved using what focal length?","500mm","35mm","85mm",0,"Director Cut","New Hollywood","Domestic"
"Which 1948 Hitchcock film contains only 10 cuts, all hidden behind furniture or suit jackets?","Rope","Under Capricorn","Strangers on a Train",0,"Director Cut","Golden Age","Domestic"
"Which 1928 Carl Theodor Dreyer film is famous for its extreme close-ups of Falconetti’s face?","The Passion of the Joan of Arc","Vampyr","Ordet",0,"Hard","Silent Era","International"
"The 2000 film 'In the Mood for Love' was directed by which Hong Kong auteur?","Wong Kar-wai","John Woo","Ang Lee",0,"Easy","Modern","International"
"In 'The Godfather' (1972), the orange fruit is famously used by the production to foreshadow what?","Death or a near-death experience","A meeting with the five families","The presence of a traitor",0,"Medium","New Hollywood","Domestic"
"Which 1971 musical features a character named Tevye?","Fiddler on the Roof","Cabaret","Grease",0,"Easy","New Hollywood","Domestic"
"Which 1975 film was the first to ever be called a 'Summer Blockbuster'?","Jaws","Star Wars","The Rocky Horror Picture Show",0,"Medium","New Hollywood","Domestic"
"For the 1973 film 'The Exorcist', what was used to create the sound of the demon's head turning?","An old leather wallet with credit cards","Twisting a frozen celery stalk","Cracking walnuts in a silk cloth",0,"Director Cut","New Hollywood","Domestic"
"Who was the only person to win an Oscar for 'The Godfather' who also won one for 'The Godfather Part II' for the same role?","Al Pacino","Robert De Niro","Marlon Brando",1,"Hard","New Hollywood","Domestic"
"Which 1960 French New Wave film features Jean-Paul Belmondo breaking the 'fourth wall' to talk to the audience?","Breathless","The 400 Blows","Contempt",0,"Medium","New Hollywood","International"
"Which 1970 Japanese-American co-production about Pearl Harbor saw Akira Kurosawa get fired as director?","Tora! Tora! Tora!","Midway","The Eternal Zero",0,"Hard","New Hollywood","International"
"In the 1966 film 'Persona', which Swedish director explores the merging identities of a nurse and her patient?","Ingmar Bergman","Jan Troell","Bo Widerberg",0,"Hard","New Hollywood","International"
"Which 1973 French film by François Truffaut is a 'movie about making a movie'?","Day for Night","The Last Metro","The Soft Skin",0,"Medium","New Hollywood","International"
"The 'Spaghetti Western' sub-genre was primarily filmed in which two countries?","Italy and Spain","USA and Mexico","Italy and Greece",0,"Easy","New Hollywood","International"
"In 'Apocalypse Now' (1979), the opening jungle napalm scene was actually accidental footage of what?","A real forest fire","The crew burning trash","Test pyrotechnics gone wrong",1,"Director Cut","New Hollywood","Domestic"
"Which cinematographer won three consecutive Oscars in the 70s, including one for 'Close Encounters of the Third Kind'?","Vilmos Zsigmond","Gordon Willis","Vittorio Storaro",0,"Director Cut","New Hollywood","Domestic"
"Which composer, known as the 'Father of Film Music,' wrote the groundbreaking score for 'King Kong' (1933)?","Max Steiner","Erich Wolfgang Korngold","Bernard Herrmann",0,"Medium","Golden Age","Domestic"
"Which iconic John Williams theme is famous for using just two notes (E and F) to create suspense?","Jaws","Star Wars","Raiders of the Lost Ark",0,"Easy","New Hollywood","Domestic"
"Ennio Morricone is legendary for his 'Spaghetti Western' scores; which instrument provides the famous 'howl' in 'The Good, the Bad and the Ugly'?","Ocarina","The human voice","Harmonica",1,"Medium","New Hollywood","International"
"Ludwig Göransson won an Oscar for 'Oppenheimer' (2023), but for which Marvel film did he win his first Academy Award?","Black Panther","Shang-Chi","Spider-Man: No Way Home",0,"Easy","Modern","Domestic"
"Hans Zimmer used a 'ticking watch' sound as a central motif in which Christopher Nolan film score?","Dunkirk","Inception","Interstellar",0,"Medium","Modern","International"
"Which Elmer Bernstein score is famous for its 'Western' theme and features a brassy, driving rhythm?","The Magnificent Seven","The Great Escape","True Grit",0,"Easy","Golden Age","Domestic"
"Ennio Morricone collaborated with his son, Andrea Morricone, on the famous 'Love Theme' for which 1988 film?","Cinema Paradiso","The Mission","Malèna",0,"Hard","80s","International"
"Lorne Balfe provided the high-octane score for which 2023 action blockbuster starring Tom Cruise?","Mission: Impossible – Dead Reckoning Part One","Top Gun: Maverick","Mission: Impossible – Fallout",0,"Easy","Modern","Domestic"
"John Williams holds the record for the most Academy Award nominations for a living person; how many has he received as of 2024?","54","48","61",0,"Director Cut","Modern","Domestic"
"Max Steiner's score for which 1939 epic was the longest film score ever written at the time?","Gone with the Wind","Casablanca","The Searchers",0,"Hard","Golden Age","Domestic"
"Hans Zimmer’s 'Inception' score features a slowed-down version of which famous French song?","Non, je ne regrette rien","La Vie en Rose","Hymne à l'amour",0,"Director Cut","Modern","International"
"In 'The Mission' (1986), Ennio Morricone highlights which woodwind instrument to represent the character Father Gabriel?","Oboe","Flute","Clarinet",0,"Hard","80s","International"
"Ludwig Göransson used a heavily processed 'distorted recorder' to create the main theme for which Star Wars series?","The Mandalorian","Andor","Ahsoka",0,"Medium","Modern","Domestic"
"Elmer Bernstein notably pivoted from dramatic scores to comedies in the 80s, scoring which 1984 paranormal hit?","Ghostbusters","Gremlins","Beetlejuice",0,"Medium","80s","Domestic"
"In which 1986 fantasy film did David Bowie play Jareth the Goblin King?","Labyrinth","The Dark Crystal","Legend",0,"Easy","80s","Domestic"
"Miles Davis famously improvised the entire score for which 1958 Louis Malle 'Noir' masterpiece while watching the film?","Elevator to the Gallows","Breathless","The Lovers",0,"Hard","Golden Age","International"
"Which 'Old School' jazz legend appeared as a high-society musician in the 1956 musical 'High Society'?","Louis Armstrong","Duke Ellington","Count Basie",0,"Medium","Golden Age","Domestic"
"Lady Gaga won an Academy Award for Best Original Song for 'Shallow' from which 2018 film?","A Star Is Born","House of Gucci","Joker: Folie à Deux",0,"Easy","Modern","Domestic"
"Which 2019 biopic stars Taron Egerton as Elton John?","Rocketman","Bohemian Rhapsody","The Dirt",0,"Easy","Modern","Domestic"
"In the 1976 film 'The Man Who Fell to Earth', David Bowie plays an alien searching for what resource for his home planet?","Water","Gold","Oxygen",0,"Medium","New Hollywood","International"
"Which jazz pianist and singer had a memorable cameo performing 'The Christmas Song' in the 1953 film 'Small Town Girl'?","Nat King Cole","Fats Domino","Ray Charles",0,"Hard","Golden Age","Domestic"
"For the 1966 film 'Alfie', which jazz saxophonist composed and performed the legendary soundtrack?","Sonny Rollins","John Coltrane","Stan Getz",0,"Director Cut","Golden Age","International"
"Before his acting fame, which musician-turned-actor starred in the 1980 film 'The Blues Brothers' as a soul food restaurant owner?","Aretha Franklin","Ray Charles","James Brown",0,"Medium","80s","Domestic"
"David Bowie played the role of which real-life inventor in Christopher Nolan's 'The Prestige' (2006)?","Nikola Tesla","Thomas Edison","Alexander Graham Bell",0,"Medium","Modern","Domestic"
"In addition to her original song 'Hold My Hand', Lady Gaga is also a credited co-composer for which aspect of 'Top Gun: Maverick'?","The film's score","The sound effects design","The end credits medley",0,"Medium","Modern","Domestic"
"Which 1960 French New Wave classic by Jean-Luc Godard follows a small-time thief and his American girlfriend in Paris?","Breathless","Vivre sa vie","The 400 Blows",0,"Easy","New Hollywood","International"
"In the 1966 'Spaghetti Western' masterpiece 'The Good, the Bad and the Ugly', which country served as the primary filming location for the Spanish desert scenes?","Spain","Italy","Algeria",0,"Medium","New Hollywood","International"
"Which 1970 Japanese film by Kenji Misumi launched the 'Lone Wolf and Cub' series, famous for its stylized violence and 'baby cart' stunts?","Sword of Vengeance","Shogun Assassin","Lady Snowblood",0,"Hard","New Hollywood","International"
"Federico Fellini's 1963 film '8½' is a semi-autobiographical story about a director's creative block; what is the protagonist's profession?","Film Director","Journalist","Fashion Photographer",0,"Easy","New Hollywood","International"
"Which 1977 Italian horror film directed by Dario Argento is famous for its vibrant Technicolor palette and progressive rock score by Goblin?","Suspiria","Deep Red","The Bird with the Crystal Plumage",0,"Medium","New Hollywood","International"
"The 1966 film 'Blow-Up', which explores a photographer who believes he captured a murder, was the first English-language film by which Italian director?","Michelangelo Antonioni","Bernardo Bertolucci","Luchino Visconti",0,"Hard","New Hollywood","International"
"Which 1969 Brazilian film is a cornerstone of the 'Cinema Novo' movement, depicting a mythic struggle in the sertão (backlands)?","Antonio das Mortes","Black God, White Devil","The Given Word",0,"Director Cut","New Hollywood","International"
"Werner Herzog's 1972 film 'Aguirre, the Wrath of God' was filmed on location in the Amazon rainforest; what was the primary source of the director's on-set conflict?","Lead actor Klaus Kinski","Flooding of the river rafts","Loss of the film's negative",0,"Medium","New Hollywood","International"
"Which 1973 Senegalese film by Djibril Diop Mambéty is celebrated for its experimental style and commentary on post-colonial identity?","Touki Bouki","Black Girl","Mandabi",0,"Director Cut","New Hollywood","International"
"The 1967 film 'Playtime', known for its massive and expensive 'Tativille' set, was directed by which French physical comedy legend?","Jacques Tati","Pierre Étaix","Jerry Lewis",0,"Hard","New Hollywood","International"
"In Akira Kurosawa's 'Yojimbo' (1961), what does the nameless samurai call himself, translating to 'Mulberry Field'?","Kuwabatake Sanjuro","Sanjuro Tsubaki","Kikuchiyo",0,"Medium","Golden Age","International"
"Which 1962 Masaki Kobayashi film features a ronin requesting to commit seppuku in a clan's courtyard as a bluff?","Harakiri","Samurai Rebellion","Sword of Doom",0,"Hard","Golden Age","International"
"Which 1967 film stars Toshiro Mifune as a palace guard who refuses to hand over his son's wife to a cruel Lord?","Samurai Rebellion","Lone Wolf and Cub","The Hidden Fortress",0,"Medium","New Hollywood","International"
"The plot of 'The Hidden Fortress' (1958) was a primary inspiration for the narrative structure of which sci-fi epic?","Star Wars","Dune","Blade Runner",0,"Easy","Golden Age","Domestic"
"Which actor played the legendary swordsman Musashi Miyamoto in Hiroshi Inagaki's 'Samurai Trilogy'?","Toshiro Mifune","Tatsuya Nakadai","Takashi Shimura",0,"Medium","Golden Age","International"
"In 'Seven Samurai', how many of the original seven samurai survive the final battle against the bandits?","3","4","2",0,"Hard","Golden Age","International"
"Which 1966 film features a nihilistic, sociopathic samurai who never blinks and uses an unorthodox 'silent' sword style?","The Sword of Doom","Kill!","Three Outlaw Samurai",0,"Director Cut","New Hollywood","International"
"Which 1973 film about a female assassin seeking revenge served as a major visual inspiration for Quentin Tarantino's 'Kill Bill'?","Lady Snowblood","Sister Street Fighter","Sex and Fury",0,"Medium","New Hollywood","International"
